full_name_sk,URL,span_crimes,start_crimes,end_crimes,state,state2,victimrace,victimsex,victimagemin,victimagemax,weapon,weapon2,weapon3,victims
Rodney Alcala,https://en.wikipedia.org/wiki/Rodney_Alcala,1968-1979,1968,1979,Washington,nope,White,Female,12,27,Strangulation – hanging,nope,nope,>8
Benjamin Atkins,https://en.wikipedia.org/wiki/Benjamin_Atkins,1991-1992,1991,1992,Michigan,nope,in,Female,23,45,Strangulation – hanging,nope,nope,11
Herb Baumeister,https://en.wikipedia.org/wiki/Herb_Baumeister,1980-1996,1980,1996,Indiana,Ohio,in,Male,20,46,Strangulation – hanging,nope,nope,>11
Robert Berdella,https://en.wikipedia.org/wiki/Robert_Berdella,1984-1988,1984,1988,Missouri,nope,White,Male,20,30,"Narcotics or drugs, sleeping pills",Strangulation – hanging,"Personal weapons, includes beating",6
David Berkowitz,https://en.wikipedia.org/wiki/David_Berkowitz,1976-1977,1976,1977,New York,nope,White,in,15,20,"Handgun - pistol, revolver, etc","Firearm, type not stated",nope,6
Kenneth Bianchi,https://en.wikipedia.org/wiki/Kenneth_Bianchi,1977-1979,1977,1979,California,Washington,in,Female,12,28,Strangulation – hanging,nope,nope,12
Richard Biegenwald,https://en.wikipedia.org/wiki/Richard_Biegenwald,1958-1983,1958,1983,New Jersey,nope,in,in,17,47,"Handgun - pistol, revolver, etc",Knife or cutting instrument,"Firearm, type not stated",>9
Rudy Bladel,https://en.wikipedia.org/wiki/Rudy_Bladel,1963-1978,1963,1978,Indiana,Michigan,in,Male,32,51,"Handgun - pistol, revolver, etc",Shotgun,"Firearm, type not stated",7
Terry Blair (serial killer),https://en.wikipedia.org/wiki/Terry_Blair_(serial_killer),1982-2004,1982,2004,Missouri,nope,Black,Female,31,45,Strangulation – hanging,nope,nope,7
Larry Bright,https://en.wikipedia.org/wiki/Larry_Bright,2003-2004,2003,2004,Illinois,nope,Black,Female,30,41,Strangulation – hanging,Fire,nope,>8
Briley Brothers,https://en.wikipedia.org/wiki/Briley_Brothers,1979-1979,1979,1979,Virginia,nope,in,in,15,74,"Handgun - pistol, revolver, etc",Knife or cutting instrument,"Blunt object - hammer, club, etc",>12
Eugene Britt,https://en.wikipedia.org/wiki/Eugene_Britt,1995-1995,1995,1995,Indiana,nope,in,Female,8,51,Strangulation – hanging,nope,nope,10
Shelly Brooks,https://en.wikipedia.org/wiki/Shelly_Brooks,2001-2006,2001,2006,Michigan,nope,in,Female,30,54,"Personal weapons, includes beating","Blunt object - hammer, club, etc",nope,>7
